Time,time,V(inn),V(inp),V(n001),V(n002),V(n2v5),V(nc_01),V(nc_02),V(outa),V(outb),V(p2v5),V(sd),V(signal),V(vdd),V(vee),I(Ca),I(Cb),I(Cf),I(Cload),I(Cpara),I(Cparb),I(IOUTA),I(IOUTB),I(R1),I(R2),I(R3),I(R5),I(Ra),I(Rb),I(Rf),I(Rload),I(Rpara),I(Rparb),I(V1),I(V2),I(V3),I(V4),Ix(u1:1),Ix(u1:2),Ix(u1:3),Ix(u1:4),Ix(u1:5),Ix(u1:6),Ix(u2:1),Ix(u2:2),Ix(u2:3),Ix(u2:4),Ix(u2:5),Ix(u2:6),Ix(u3:1),Ix(u3:2),Ix(u3:3),Ix(u3:4),Ix(u3:5),Ix(u3:6)
1.1977240588951998e-08,1.1977240588951998e-08,0.011821237,-0.0073997895,-0.52050495,-0.46444005,-2.5,2.5,2.5,-0.47403988,-0.46564397,2.5,-15.183333,-0.5110116,18.0,-18.0,1.0092824e-05,1.1832976e-05,4.6706205e-05,-0.00629904,2.2938236e-06,2.6893129e-06,0.0021503684,0.0018496315,-0.0014083333,-0.0015183333,-0.002137856,-0.0018355031,0.00046465054,-1.3572907e-05,-2.6408385e-05,-0.023227802,7.880825e-08,-4.933193e-08,-0.032543685,-0.050860476,-0.0064145704,-0.002000007,1.3572907e-05,-0.0004443527,0.03254368,-0.049452145,0.016908463,0.00011,-1.9965155e-06,4.685188e-08,0.0010000037,-0.0035904183,0.0026025067,0.0,-1.5264386e-06,-3.4447575e-07,0.0010000035,-0.002824152,0.0018219302,0.0
1.3865972730762554e-08,1.3865972730762554e-08,0.0121416915,-0.005901867,-0.53024733,-0.45335257,-2.5,2.5,2.5,-0.4641821,-0.45453864,2.5,-15.183333,-0.43761632,18.0,-18.0,-2.6275015e-06,2.3062707e-05,8.7855056e-05,-0.0107991705,-5.9715944e-07,5.2415244e-06,0.0021740247,0.0018259754,-0.0014083333,-0.0015183333,-0.0021782692,-0.0017969907,0.0006606525,-1.3371684e-05,1.8975576e-05,-0.01989165,8.094461e-08,-3.934578e-08,-0.032543685,-0.042937666,-0.0066115586,-0.002000007,1.3371684e-05,-0.00055382185,0.03254368,-0.04152933,0.008985649,0.00011,-1.4274749e-06,-1.1009563e-06,0.0010000037,-0.0038260627,0.0028389217,0.0,-2.079679e-06,7.1975086e-07,0.0010000035,-0.002785496,0.001783619,0.0
1.568507884333094e-08,1.568507884333094e-08,0.011413431,-0.0037736306,-0.5407065,-0.4437815,-2.5,2.5,2.5,-0.45540532,-0.4449084,2.5,-15.183333,-0.3283632,18.0,-18.0,-1.4987452e-05,2.8414444e-05,0.0001330805,-0.015626643,-3.406239e-06,6.4578285e-06,0.0021967855,0.0018032144,-0.0014083333,-0.0015183333,-0.0022173491,-0.0017671,0.0008530119,-1.2704501e-05,9.074436e-05,-0.014925601,7.608954e-08,-2.5157538e-08,-0.033468552,-0.03395202,-0.0068135425,-0.002000007,1.2704501e-05,-0.00062918704,0.03346855,-0.03254368,-0.0009248671,0.00011,-8.448515e-07,-2.2459737e-06,0.0010000037,-0.0040577524,0.003070361,0.0,-2.3837472e-06,1.2673705e-06,0.0010000035,-0.0027557898,0.0017543954,0.0
1.7136553480035332e-08,1.7136553480035332e-08,0.010134743,-0.0019154449,-0.5493983,-0.43755352,-2.5,2.5,2.5,-0.44947755,-0.438613,2.5,-15.183333,-0.2130145,18.0,-18.0,-2.3774695e-05,2.7914595e-05,0.00016846377,-0.019340167,-5.40334e-06,6.344226e-06,0.0022149284,0.0017850716,-0.0014083333,-0.0015183333,-0.0022471207,-0.0017495505,0.0009992075,-1.1944602e-05,0.00016890219,-0.0096824765,6.7564955e-08,-1.27696325e-08,-0.04253874,-0.033952016,-0.006973164,-0.002000007,1.1944602e-05,-0.0006618415,0.04253874,-0.03254368,-0.009995056,0.00011,-4.0889728e-07,-3.081776e-06,0.0010000037,-0.004234577,0.003246328,0.0,-2.4141184e-06,1.27504e-06,0.0010000035,-0.002738587,0.0017376059,0.0
1.8509591333325544e-08,1.8509591333325544e-08,0.008446826,-0.000308707,-0.55751747,-0.43308792,-2.5,2.5,2.5,-0.44501737,-0.43407768,2.5,-15.183333,-0.08286088,18.0,-18.0,-3.031585e-05,2.3574492e-05,0.00019771233,-0.022368507,-6.889966e-06,5.357839e-06,0.0022320745,0.0017679256,-0.0014083333,-0.0015183333,-0.0022729489,-0.0017380691,0.0011250009,-1.1158732e-05,0.0002586832,-0.0037664038,5.6312167e-08,-2.0580466e-09,-0.05160218,-0.033952016,-0.0071149827,-0.0020000073,1.1158732e-05,-0.0006686054,0.05160218,-0.03254368,-0.0190585,0.00011,-6.334564e-08,-3.7249877e-06,0.0010000037,-0.0043874397,0.0033979497,0.0,-2.2627482e-06,9.262309e-07,0.0010000035,-0.0027275432,0.0017269104,0.0
1.9972372021443113e-08,1.9972372021443113e-08,0.006287924,0.0009928906,-0.5656528,-0.42985627,-2.5,2.5,2.5,-0.44152382,-0.43077683,2.5,-15.183333,0.07394255,18.0,-18.0,-3.462324e-05,1.5577169e-05,0.00022151627,-0.024797488,-7.868918e-06,3.5402654e-06,0.002250322,0.0017496779,-0.0014083333,-0.0015183333,-0.0022969507,-0.0017303178,0.00124129,-1.037867e-05,0.00036819026,0.003361025,4.1919495e-08,6.61927e-09,-0.061291903,-0.033952016,-0.0072496547,-0.0020000073,1.037867e-05,-0.00065158354,0.0612919,-0.03254368,-0.02874822,0.00011,1.9412808e-07,-4.1784956e-06,0.0010000037,-0.0045293528,0.003538241,0.0,-1.9364224e-06,2.3605593e-07,0.0010000035,-0.0027203017,0.0017199392,0.0
2.1328766911857798e-08,2.1328766911857798e-08,0.0041212384,0.0016625611,-0.5723879,-0.4280678,-2.5,2.5,2.5,-0.43929422,-0.42893794,2.5,-15.183333,0.2310311,18.0,-18.0,-3.566173e-05,6.1462274e-06,0.00023516189,-0.026160361,-8.104938e-06,1.3968698e-06,0.0022672236,0.0017327764,-0.0014083333,-0.0015183333,-0.0023152977,-0.0017258248,0.0013309368,-9.810055e-06,0.00047880382,0.010501415,2.7474922e-08,1.108374e-08,-0.06991942,-0.033952016,-0.007355219,-0.0020000073,9.810055e-06,-0.00061697105,0.06991942,-0.03254368,-0.03737574,0.00011,3.0323787e-07,-4.334905e-06,0.0010000037,-0.0046389652,0.0036462345,0.0,-1.5268771e-06,-6.0258236e-07,0.0010000035,-0.0027162542,0.0017160147,0.0
2.3050037600503594e-08,2.3050037600503594e-08,0.0014546108,0.0016521468,-0.579375,-0.42686692,-2.5,2.5,2.5,-0.43736374,-0.42770275,2.5,-15.183333,0.43735874,18.0,-18.0,-3.2503962e-05,-6.412441e-06,0.0002398294,-0.02658216,-7.3872643e-06,-1.4573731e-06,0.0022886437,0.0017113562,-0.0014083333,-0.0015183333,-0.0023326492,-0.0017209601,0.001420113,-9.423036e-06,0.0006248018,0.019879943,9.6974055e-09,1.1014312e-08,-0.07987041,-0.033952016,-0.0074592517,-0.0020000073,9.423036e-06,-0.0005554819,0.07987042,-0.03254368,-0.047326732,0.00011,2.358929e-07,-4.123941e-06,0.0010000037,-0.0047474336,0.0037527622,0.0,-9.557309e-07,-1.7451481e-06,0.0010000035,-0.0027118183,0.0017115371,0.0
2.47430073663178e-08,2.47430073663178e-08,-0.00074584933,0.000748618,-0.5842663,-0.42603892,-2.5,2.5,2.5,-0.43575433,-0.42687848,2.5,-15.183333,0.638422,18.0,-18.0,-2.4685627e-05,-1.7070122e-05,0.00023142261,-0.02567385,-5.6103695e-06,-3.8795733e-06,0.0023096788,0.0016903211,-0.0014083333,-0.0015183333,-0.0023434556,-0.0017140062,0.0014851196,-9.464997e-06,0.0007672688,0.029019183,-4.9723288e-09,4.9907865e-09,-0.0882354,-0.033952016,-0.007529836,-0.0020000073,9.464997e-06,-0.00048642812,0.0882354,-0.03254368,-0.055691723,0.00011,-5.661521e-08,-3.4757477e-06,0.0010000037,-0.0048247725,0.0038285751,0.0,-4.454756e-07,-2.740348e-06,0.0010000035,-0.0027050634,0.0017045413,0.0
2.64595299875596e-08,2.64595299875596e-08,-0.0022107975,-0.0008505634,-0.587166,-0.42459953,-2.5,2.5,2.5,-0.43359166,-0.42547914,2.5,-15.183333,0.83104086,18.0,-18.0,-1.2865709e-05,-2.3922044e-05,0.0002123961,-0.023700567,-2.9240248e-06,-5.4368284e-06,0.0023309707,0.0016690292,-0.0014083333,-0.0015183333,-0.0023492177,-0.0017018032,0.0015357435,-9.916644e-06,0.000903309,0.037774585,-1.4738649e-08,-5.670423e-09,-0.095134534,-0.033952016,-0.0075748893,-0.0020000073,9.916644e-06,-0.00042003847,0.09513454,-0.03254368,-0.06259086,0.00011,-5.520281e-07,-2.4425613e-06,0.0010000037,-0.0048820903,0.0038849614,0.0,-8.8333174e-08,-3.4092886e-06,0.0010000035,-0.0026927986,0.0016918865,0.0
