Time,V(inn),V(inp),V(n001),V(n002),V(n2v5),V(nc_01),V(nc_02),V(outa),V(outb),V(p2v5),V(sd),V(signal),V(vdd),V(vee),I(BIOUTA),I(BIOUTB),I(Ca),I(Cb),I(Cf),I(Cload),I(Cpara),I(Cparb),I(R1),I(R2),I(R3),I(R5),I(Ra),I(Rb),I(Rf),I(Rload),I(Rpara),I(Rparb),I(V1),I(V2),I(V3),I(V4),Ix(xu1:1),Ix(xu1:2),Ix(xu1:3),Ix(xu1:4),Ix(xu1:5),Ix(xu1:6),Ix(xu2:1),Ix(xu2:2),Ix(xu2:3),Ix(xu2:4),Ix(xu2:5),Ix(xu2:6),Ix(xu3:1),Ix(xu3:2),Ix(xu3:3),Ix(xu3:4),Ix(xu3:5),Ix(xu3:6)
9.617647154997332e-08,0.0029408587,-0.001907768,-0.9220291,-0.07368242,-2.5,2.5,2.5,-0.08485574,-0.07527204,2.5,-15.183333,9.913396,18.0,-18.0,0.0037118131,0.0002881868,-1.3807153e-06,9.191148e-07,0.00025827976,-0.022486664,-3.1379895e-07,2.0888973e-07,-0.0014083333,-0.0015183333,-0.0037147386,-0.0002882516,0.0055811554,-1.1354422e-05,0.0047610723,0.4506089,1.9605725e-08,-1.2718453e-08,-0.5106586,-0.03395203,-0.011568993,-0.0020000073,1.1354422e-05,-0.0005618037,0.51065856,-0.032543693,-0.4781149,0.00011,-1.2212648e-06,-1.2506424e-06,0.001000004,-0.010290989,0.009295895,0.0,-1.1872703e-06,-1.1801025e-06,0.0010000032,-0.0012780043,0.0002768972,0.0
1.1088235404996924e-07,0.00198558,-0.0012723452,-0.9580599,-0.037984725,-2.5,2.5,2.5,-0.047916774,-0.03949879,2.5,-15.183333,11.281006,18.0,-18.0,0.0038525253,0.00014747473,-1.471554e-06,9.781716e-07,0.00021129283,-0.018349392,-3.344441e-07,2.2231171e-07,-0.0014083333,-0.0015183333,-0.0038556042,-0.00014743928,0.0060676206,-1.0814733e-05,0.0053947247,0.512773,1.3237199e-08,-8.482301e-09,-0.56927204,-0.03395203,-0.012057034,-0.0020000073,1.0814733e-05,-0.00046160305,0.56927204,-0.032543693,-0.5367284,0.00011,-1.189842e-06,-1.2862196e-06,0.001000004,-0.010919603,0.009923225,0.0,-1.2081097e-06,-1.1565619e-06,0.0010000032,-0.0011374316,0.00013662454,0.0
1.2558823654996516e-07,0.0009815971,-0.00060543354,-0.982773,-0.013618096,-2.5,2.5,2.5,-0.022177322,-0.015050495,2.5,-15.183333,12.356448,18.0,-18.0,0.003947635,5.2364714e-05,-1.5262384e-06,1.0131206e-06,0.00015910467,-0.013760427,-3.4687235e-07,2.3025468e-07,-0.0014083333,-0.0015183333,-0.0039508217,-5.225969e-05,0.0064039715,-1.02314225e-05,0.0058945836,0.5616567,6.543981e-09,-4.036224e-09,-0.6140145,-0.03395203,-0.01239506,-0.0020000073,1.02314225e-05,-0.00035028302,0.6140145,-0.032543696,-0.58147085,0.00011,-1.1586712e-06,-1.3199009e-06,0.0010000041,-0.011352544,0.010354793,0.0,-1.2287528e-06,-1.1343136e-06,0.0010000031,-0.0010425155,4.2028267e-05,0.0
1.2735294244996467e-07,0.00085900637,-0.00052406336,-0.9849457,-0.011487487,-2.5,2.5,2.5,-0.019874707,-0.01290977,2.5,-15.183333,12.4645195,18.0,-18.0,0.0039558588,4.4141052e-05,-1.5302772e-06,1.0156571e-06,0.00015255227,-0.013184648,-3.477903e-07,2.3083115e-07,-0.0014083333,-0.0015183333,-0.003959055,-4.4029814e-05,0.006433807,-1.0159166e-05,0.0059449496,0.5665691,5.7267093e-09,-3.4937555e-09,-0.6183949,-0.03395203,-0.0124251,-0.0020000073,1.0159166e-05,-0.0003363047,0.6183949,-0.032543696,-0.58585125,0.00011,-1.1549851e-06,-1.3237735e-06,0.0010000041,-0.011390782,0.010392861,0.0,-1.231193e-06,-1.1317563e-06,0.0010000031,-0.0010343186,3.387065e-05,0.0
1.2852941304996434e-07,0.0007771087,-0.0004697097,-0.98629814,-0.010163125,-2.5,2.5,2.5,-0.01843492,-0.011578633,2.5,-15.183333,12.533993,18.0,-18.0,0.0039609554,3.9044502e-05,-1.5326643e-06,1.0171499e-06,0.00014815373,-0.012798181,-3.483328e-07,2.3117045e-07,-0.0014083333,-0.0015183333,-0.003964158,-3.892938e-05,0.0064524217,-1.01107735e-05,0.0059773466,0.56972694,5.1807247e-09,-3.1313978e-09,-0.6211943,-0.03395203,-0.012443853,-0.0020000073,1.01107735e-05,-0.00032692112,0.6211943,-0.032543696,-0.58865064,0.00011,-1.1525366e-06,-1.3263324e-06,0.0010000041,-0.011414613,0.010416579,0.0,-1.2328138e-06,-1.1300664e-06,0.0010000031,-0.0010292402,2.8818606e-05,0.0
1.2970588364996402e-07,0.0006950899,-0.00041528043,-0.9875735,-0.008915843,-2.5,2.5,2.5,-0.01707163,-0.010324553,2.5,-15.183333,12.601395,18.0,-18.0,0.0039657424,3.4257606e-05,-1.5348077e-06,1.0184833e-06,0.00014373181,-0.012409693,-3.4881992e-07,2.3147349e-07,-0.0014083333,-0.0015183333,-0.0039689504,-3.4138808e-05,0.0064700125,-1.0062212e-05,0.0060087936,0.5727907,4.633933e-09,-2.7685363e-09,-0.62389654,-0.03395203,-0.012461581,-0.0020000073,1.0062212e-05,-0.00031748743,0.62389654,-0.032543696,-0.5913529,0.00011,-1.1500957e-06,-1.3288726e-06,0.0010000041,-0.01143711,0.010438963,0.0,-1.2344295e-06,-1.1283887e-06,0.0010000031,-0.0010244718,2.4076597e-05,0.0
1.308823542499637e-07,0.00061296305,-0.0003607842,-0.9887716,-0.00774584,-2.5,2.5,2.5,-0.015785059,-0.009147729,2.5,-15.183333,12.666713,18.0,-18.0,0.003970219,2.9781128e-05,-1.5367079e-06,1.0196563e-06,0.00013928719,-0.012019244,-3.492518e-07,2.3174006e-07,-0.0014083333,-0.0015183333,-0.0039734324,-2.9658859e-05,0.006486577,-1.00134885e-05,0.0060392846,0.5757597,4.08642e-09,-2.405228e-09,-0.6265012,-0.03395203,-0.012478284,-0.0020000073,1.00134885e-05,-0.00030800517,0.62650114,-0.032543696,-0.5939575,0.00011,-1.1476629e-06,-1.3313937e-06,0.0010000041,-0.011458269,0.01046001,0.0,-1.2360399e-06,-1.1267238e-06,0.0010000031,-0.0010200142,1.9645371e-05,0.0
1.3205882484996337e-07,0.000530741,-0.00030622954,-0.9898923,-0.0066533,-2.5,2.5,2.5,-0.014575403,-0.008048345,2.5,-15.183333,12.7299385,18.0,-18.0,0.003974384,2.5615767e-05,-1.538366e-06,1.0206678e-06,0.00013482057,-0.011626897,-3.4962864e-07,2.3196995e-07,-0.0014083333,-0.0015183333,-0.003977603,-2.5490242e-05,0.006502113,-9.964612e-06,0.0060688164,0.5786336,3.5382732e-09,-2.0415303e-09,-0.62900776,-0.03395203,-0.012493958,-0.0020000073,9.964612e-06,-0.00029847582,0.62900776,-0.032543696,-0.5964641,0.00011,-1.1452383e-06,-1.3338955e-06,0.0010000041,-0.01147809,0.010479716,0.0,-1.2376446e-06,-1.1250719e-06,0.0010000031,-0.0010158679,1.552563e-05,0.0
1.326470601499632e-07,0.0004895984,-0.000278933,-0.99042356,-0.006136133,-2.5,2.5,2.5,-0.01399948,-0.0075277495,2.5,-15.183333,12.760763,18.0,-18.0,0.00397635,2.3649965e-05,-1.5391045e-06,1.0211127e-06,0.00013257924,-0.011430032,-3.4979647e-07,2.3207107e-07,-0.0014083333,-0.0015183333,-0.0039795707,-2.352289e-05,0.0065094936,-9.9401195e-06,0.0060832202,0.58003473,3.263989e-09,-1.8595534e-09,-0.6302242,-0.03395203,-0.012501407,-0.0020000073,9.9401195e-06,-0.00029369397,0.6302242,-0.032543696,-0.5976805,0.00011,-1.1440293e-06,-1.3351391e-06,0.0010000041,-0.011487496,0.010489064,0.0,-1.2384447e-06,-1.1242508e-06,0.0010000031,-0.0010139118,1.3582772e-05,0.0
1.3323529544996304e-07,0.00044843677,-0.0002516251,-0.9909353,-0.0056383954,-2.5,2.5,2.5,-0.013442857,-0.0070265783,2.5,-15.183333,12.791061,18.0,-18.0,0.003978238,2.1762185e-05,-1.5397826e-06,1.0215169e-06,0.00013033267,-0.011232715,-3.499506e-07,2.3216295e-07,-0.0014083333,-0.0015183333,-0.003981461,-2.1633616e-05,0.0065166163,-9.91559e-06,0.006097383,0.5814119,2.9895784e-09,-1.6775008e-09,-0.63141596,-0.03395203,-0.0125086,-0.0020000073,9.91559e-06,-0.00028890092,0.63141596,-0.032543696,-0.5988723,0.00011,-1.1428224e-06,-1.3363777e-06,0.0010000041,-0.011496566,0.010498078,0.0,-1.2392433e-06,-1.1234333e-06,0.0010000031,-0.0010120338,1.1718026e-05,0.0
